tweet,label
เด็กเก่งมีความสามารถแต่ค่ายไม่โปรโมต มันก็เหมือนหัวล้านได้หวี  ไก่ได้พลอย วานรได้แก้ว ตาบอดได้แว่น แหม่มมมมไม่รู้จะเอาสำนวนไทยไหนมาพู,1
จอดรถแบบนี้ใครจะออกได้!!! แค่ยกขาตั้งขึ้นยังไม่ได้เลย คนเค้ามีธุระต้องใช้มอไซต์ ไม่นึกถึงใจคนอื่นมั้งเลยหรือยังไง ความเกรงใจมีมั้งไห,1
สติไม่มีแล้วตอนนี้,1
เชี่ยเอ้ยดูตารางเรียนไม่ได,1
สักหน่อยจะเลิกเล่นเฟ,1
มันน่าโมโหนิดนึงนะ รู้ว่าเรื่องของทานบ่นมากไม่ดี แต่เคยม่ะ ไอ้ที่เก็บไว้อยากทานคนเดียวไม่อยากแบ่งใคร แต่โดนคนอื่นทานไปจนหมดไม่เหลืออ่,1
อาจดูเหมือนว่ากูเลว ชอบเหวี่ยง พาล เเต่บอกไรให้ว่ากูอึดอัดมาก !!,1
ไอ่กร๊วก.,1
ทำไมต้องเป็นแบบนี้ เอาเลย อยากทำอะไรก็ตามสบาย แต่รู้ไว้ ฉันไม่ยอมรับหรอกน,1
ถ้ามองการติ่งมันไร้สาระ ก็เลิกเอาเวลาอันล้ำค่าของคุณ มาเผือกสิ่งไร้สาระอย่างพวกหนูเลยค่ะ ทัศนคติพวกคุณก็ไม่ได้สูงนักหรอก อีปอบ,1
ทำไมพี่ซองอิมไม่มีโมเมนท์ชัดๆ กับน้องแทบ้างน,1
มาเป็นอะไรตอนจบวะคะยูทู,1
เจอแต่พวกตอแหล กูชินแล้วล่ะ ลองไม่มีประโยชน์กะมันก็หมาตัวนึงๆดีนี้ล่ะกู ทำบุญกะคนไม่ขึ้นจริงๆ คนเชี้ยไรยิ่งกว่าหมาอีกอีดอ,1
อีกแปบมึงจะกล้ายเป็นโกโก้ครั้นแน,1
เนตประเทศไทยกากไม่แพ้ชาติใดในโลกกกกกกกก,1
อิพวกปรัศนีย์!! เป็นมีปัญหาจริงจังทางจิตใจ เบลอหน้าอิพี่ย๊งอีก เพราะย๊งมันยืนตรงกลางล่ะสิ แหม!จะจิ้นฮโยซอ.จิ้นขึ้นเรอะ? อย่าให้เหวี่ย,1
เขาทำให้หัวใจเต้นแรงและทำให้หัวใจเต้นเบ,1
ไม่อยากคุยไม่ต้องคุย !! กูแค่ถามเรื่องน้องที่เสียไปก็แค่นั้น หยิ่งไรนักหนา !,1
เน่คนข้างบ้าน!!! อย่าเยอะน่ะค่,1
แหม!! รูปคู่มึงเนี่ย เอาขึ้นให้กูเห็นบ่อยจังน้ะ อย่าให้กูได้มีนะกูจะแท็กไปให้มึงเลยคอยดู,1
อย่าให้กุต้องแอนตี้บริทนี่เพราะฟค.ฟายๆอย่างพวกมึงนะ,1
จะหยุดดด ก็ไม่ได้หยุด นี่เพื่อนนะตลอ,1
เป็นกูกูจะรีบไปรื้อยาดูไม่ยืดอ้อยยย,1
โอ๊ยยยยย กูพูดแล้วโมโห ขัดกูได้ทุกเรื่องจริงๆมึง กูจะทำอะไรหนักหัวมึงรึไงกันค๊,1
อิพวกเวนที่ขโมยนี่ไม่ยอมหยุดนะ ขยะจิงๆ แล้วอิพวกรับซื้อก็เหมือนกัน !!!!!,1
มีบอทอยากนอนแบบไม่ฟื้นเดี๋ยวสักวันจะจัดให้ไม่สบายก็อย่าปากมากไปนอนไวไวไปหลีแฟนตูอยู่ได้  แสด!!!,1
อ๊อย!! บีบีเปนไร ส่งไม่ไป,1
ข้าวมันไก่ ข้าวหน้าเป็ด ข้าวหมูแดง ข้าวไข่เจียว พิซซ่า มันบด แฮมเบอร์เกอร์ สเต๊ก ไก่ทอด หมูสามชั้น สี่ชั้น ห้าชั้น จะแดกแม่งให้หมดเล,1
รอรถที่ป้ายรถเมประมาณชั่วโมงนึงได้  คนจากต้นสายก็เปนล้านละ เสือกบอก หน้าประตูเขยิบเข้าในนะ แค่นี้ก็จะได้กันละไอ้ฝัด จะให้เข้าไปถึงใ,1
ตัวๆได้นะไอสั,1
มึงนิมัน..หขี จริงจริง !!!,1
ทำตัวเยี่ยงขอทาน เครื่องแบบพระราชทาน เกียรติยศศักดิ์ศรี อยู่ตรงไหน เป็นทหารแต่แบบมือรีดไถ่ใต้โต๊ะ คุณภูมิใจมากไหม ไถได้แบบหน้าไม่อา,1
(ต่อ) หลังๆเวลาทำบุญทุกครั้งจะกรวดน้ำ อุทิศส่วนกุศลไปให้ ขออย่าได้มีลูกน้องที่คิดไม่ซื่ออี,1
บางทีก็คิดนะ ทำงานนี่เหนื่อยกว่าตอนเรียนเยอะ ไม่เหนื่อยเพราะงานแต่เปนเพราะคน ทุกวันจะบ้าทุกวันอยู่แล้,1
แล้วเก่งกันนัก เอาคนแก่ เด็ก ผู้หญิง เป็นโล่...เหี้ยเอ้ยยย,1
เเสรดทรู เมิงตายยสัญญานเมิงห่วยเเตกหมาไม่เเ_ _ มากกก,1
อีสัด ผู้โดยสารไม่ต้องรับ ควย! มีตำรวจทำเหี้ยไรได้ครับ ถามหน่อย -_-,1
อดร่วมดราม่,1
เขียน คิ้ว ไม่ เท่า กัน ซะ ท,1
ประกันสังคม นนทบุรี บริการห่วยแตก !  รอเป็นช่วงโมงขนาดนี้กูกลับไปหลับที่บ้านได้เลยเหอะ พนักงานน่าหยั่งกะส้นตีน ! ไม่มีความเป็นมิต,1
จะนอนก็เรื่องกุป่าวว่ะสัส ทีมึงนอนกุยังให้มึงนอนเฉยๆเล,1
มอไม่ได้เปิดวิทยุดังไปใช่ไหม คือกุตะโกนกะเพื่อนในห้องเลยแหล,1
บอกกูทำชั่วโมงเดียว ล่อไปสี่ชั่วโมง แล้วให้กูนั่งรอ ข้าวก็ไม่ได้แดก เล็บก็ไม่ได้ท,1
รีเฟรช รีเฟรช....รีหน้ามึงซ,1
กูรู้เลยว่าใครที่รักแต่ตัวเอ,1
วันนี้จะนอนให้ดึกแมร่งเลยยยยยย!!!,1
จะไปทวงโอกาสที่น้องเสียไปได้ที่ไหน เอสเอ็มจะชดใช้ให้น้องยังไง?!!,1
ระบาย ระบาย ระบา,1
ฟายยย โดนแย่งที่จอด กุมาก่อนป่ะว่ะ ฝั่งเมิงก็ว่าง กุต้องอ้อมโลกอีก ขอให้เมิงเจอแต่อะไรอ้อมๆละกันวันนี้ !!,1
"ครั้งหน้าคงใช้ ""หอย"" วาดสินะ ทุเรศจัง ผู้ชายก็นะ! เอิ่มที่กระเทยคุณเดินหนี ที่ผู้หญิงคุณยินยอ ทุเรศน่ะค่ะน่ะค่ะ :",1
แม่งเอ๊ย!!!!!!!! เสือกล้ำหน้าอีก!!,1
รู้ความหมายดีสินะ ทั้งเนื้อหาของเพลงแล้วก็เอ็มวีอ่ะ มันจะเป๊ะ จะลงตัวอะไรขนาดนั้,1
พอใจ และ กล้าโกหกว่าไม่เห็น ทำไม จะทำไม แหม ! อย่ามาทักนะแม่ง ด่ายั,1
ยังไงก็ต้องลาไปให้ได้ หรือยังไงให้ไพลินลาออกม่,1
กู๊ดบายสเตจไนน์มิวส์วันนี้แบบโคตรของโคตรจะตัดเพลงอะแกรรรร,1
ตื่นมาทวีตตอนตี2 เพราะอียุงเกรีย,1
ใครบอกเรียนเก่ง ผลออกกี่ที่ยังไม่ติดสักที่ ถ้าเก่งต้องติดแล้วดิว้ะ!!!,1
เมื่อไหร่รถไฟฟ้ามันจะมาถึงรังสิ,1
คือกุจ่ายค่าเน๊ตจนเป็นปัจจุบันละไง แต่แม่งส่งบิลมาว่ากุค้างสองเดือน อิเควี้ย มีหลักฐานนะโว้ยยย อิเวรรรรรรรรรรรรรร,1
อร๊ายยยย บอกว่าไม่ไปๆๆๆๆ ยังมามาคะยั้ยคะยออีก ออกเงินให้ป่ะหล่ะ เด๋วจะไปให้ ฮึยยย,1
เอออุเหม่น่ะมึงชิช่างกระไร ขยาดขยั้นมิทันไร ก็หมิ่นก,1
ไม่ชอบรุ่นน้องที่ไม่เคารพรุ่นพี่อ่,1
ตอนเเรกเเอบกริ๊ดเพราะมันหล่อ เเต่ไปไปมาๆๆ เเม้งใจร้ายมากเล,1
เชี่ย เเมร่ง สุดท้ายก็เหมือนกันหมด !!!!!!!,1
กูลบไปกี่รอบและ โปรเจคแอนดรอยเนี่ย ไอเหี้,1
ตลกร้ายสัด กุชดใช้ไปแสนสอ,1
เกมแม่งก็จะหลุดเหี้ยอะไรหนักหน,1
เกลียดมึงนะ พูดเลยมากกว่าทุกคนที่กูเคยเกลียด...เชี้ยเอ้,1
ฝนตกหรือไง ทำไมทรูยูบีซีไม่มีสัญญาณอีกล,1
ถ้ากูเห็นว่าใครอ่านหนังสือแล้วเอาใส่ชั้นไปเรื่อยนะ กูจะเอาสันหนังสือตีหัวแม่,1
แล้วทำไมต้องให้พี่ทึกกูถอดเสื้อด้วยว้ะ -*-!!,1
หลังจากที่เมื่อคืนเน็ตเน่าทั้งคืน วันนี้ก็เกือบจะลงแดง แต่ดีนะ ที่มันดีทันเวลา ไม่งั้นก็..,1
เคยไหมเวลาที่ทำงานแล้วมันจะไม่เกิดปัญหาอะไรเล,1
ออกมาธนาคารเห็นรถไส้กรอกอีสานตะโกนเรียก วิ่งตาม คืออะไรยังไม่สุก ทำมาหากินทำไมไม่หัดตื่นเช้ากันน,1
เปิดเทอมเมื่อไหร่เจอกูแน่มึง!! จะออกไปเรียนตั้งแต่หกโมงเช้ากลับบ้านตีสามเลยคอยด,1
ไม่ต้องมาบอกกูหรอกว่าพ่อแม่มึงเปนใคร ถ้ากูโมโหไปกูก็ด่าได้เหมือนกั,1
โอ๊ยยยย กูล่ะเกลียดไอ้ดันโซซซซซซ!!! ;__;) แม่งเจือกตลอด ไม่งั้นคาคาชิก็ได้เป็นโฮคาเงะชั่วคราวแล้,1
ไม่ชอบใจตั้งแต่ขึ้นราคาตอนคอนเฟิร์มในเมลล์แล้ว ให้สำหรับ 10 คนแรก เพราะจะขาดทุนเยอะ ตอนประกาศพรีเสือกประกาศราคานี้ทำไ,1
ไอจนปวดหัว...แสบคอ หึ่ยยยย!! แม่งเอ้ยยย...ตั้งแต่ก่อนสอบยันสอบเสร็,1
ชีวินแกมันเลว !!!!!!!!,1
มาประชุมตั้งแต่เช้า เงินจากแปดพันกว่าเหลือแค่สามพันกว่า ไม่ต้องทำมันละบ๋อ!!!,1
เวลาคุยหยาบคายกะเพื่อนสนิทมากมากก็ไม่เคยใช้นะ ควายป่า เนี่,1
ตัวขี้เกียจแม่งโหดจังวะ มึงเกาะซะจนกูไม่อยากลุกไปอาบน้ำ ทำให้กูอยากนอนอย่างเดียวเลยสึ,1
กูนัดก่อนสามวันบอกว่าได้ พอเพื่อนใหม่ชวนไปไหนก็ยกเลิกนัดกูตลอด ใครลืมใคร,1
ขับรถเหี้ยๆแบบมึง ไฟเลี้ยวก็ไม่เปิด จะเลี้ยวก็ไม่ดู ไม่โดนชนตายห่าก็ดีแล้ว อีเหี้ยยยยย,1
พ่อกูสวดมนต์ กูไปโรงเรียนสายเพราะพ่อกูสวดมนต์ คิดว่ากูบอกความจริงไปฝ่ายปกครองจะเชื่อกูมั้ยล่ะ !,1
พวกโจรภาคใต้ โกรธใครทำไม ไม่ไปลงกับคนนั้นวะคะ!? คนบริสุทธิ์ที่พวกคุณฆ่า พวกเขาไม่ได้รู้เรื่องกับคุณเลย คนบ้านเดียวกันแท้,1
ปังปอนด์แกบอกเราอย่านอนดึกแล้วแกทำไมนอนดึ,1
ถามหน่อยเถอะ! เว็บมันเป็นเห้อะไร หลุดอยู่นั้นแหละ.,1
การหึงทำให้คนขาดสติได้ จริงๆ.,1
ถ้าจะด่าเพศแม่มึงขนาดนี้ มึงก็หน้าตัวเมียแล้วแร,1
กูปิดแชท ไม่ต้องทักกูมา กูไม่ตอบ เหนื่อยอห. ห้ามทัก ห้ามถาม ไม่ต้องมาถามกูทำยังไง กูมั่วเอาทั้งนั้น มึงก็ใช้วิชาที่มึงมีเส่ะ กูงงชีวิ,1
โอ้ย!!ไม่รู้ด้วยแล้ว!,1
คิดมาเเล้วกุอยากกระโดดจิกหัว ซังเว้,1
เป็นบอทแล้วไม่ใช่คนหรอค๊ะ ? 555555,1
เหนแร้ว อารมเสี,1
กูผิดด้วยหรอวะ เหี้ยแม่งตื่นมาก็เจอแบบเนี่,1
ไม่ไปช่วยเค้าปลูกล่ะ ห่วงขนา,1
ได้เวลาเปลี่ยนโปรแบบจริงจัง แม่งโกงได้โกงดี ถ้าเปลี่ยนโปรแล้วยังเป็นอยู่กูจะเปลี่ยนเครือข่ายแม่งเลย โกงกูเอาไปให้เจ้าของมันหาเสียงไงว,1
อีสัตว์ !! กูเป็นชยาวอลกูยังขึ้นชื่อดิสแพคเลย ขึ้นแล้วไงวะ ขึ้นแล้วกูก็รู้หรอกว่าอะไรเป็นอะไร ทำมาคิดแทนคนอื่น แสดงความโง่อยู่ได,1
เอออินักศึกษาแพทย์นี่จิตใจโหดร้ายสัส ให้หมาแดก 11 เม็ด อีควย เดะจับมึงกรอกแทนบ้างดีป่ะสั,1
จากอากาศชิลๆ นี้ร้อนในเหงื่อหย,1
ถ้ามีรถยนต์แล้วทำให้ออกมาเรียนแต่เช้าไม่ได้ โดนเช็คสายเพราะหาที่จอด ก็ไม่ต้องมีดีกว่าป่ะ แว๊นซ์เถอะ,1
ดอกเอ๊ยย อย่าลุกเชียวนะเมิงอ่ะ กุต้องจับตามองมึงรึนี,1
5555 ออนนี่ก็วนเวียนอยู่ไไม่กี่ช่อง เหมือนกันตอนนี้แบบช่องเกาหายไปหลายช่องด้วยอีกต่างหา,1
ฝันดี ,1
ที่เอามาทำในกลุ่มแชทก้เพราะอยากให้ระดมสมองป้ะ อยากให้รู้กันทุกคนป้ะ ขึ้นอ่านละไม่ตอบคือระ? งานกลุ่มนะคะ ไม่ใช่งานคู่ !,1
อย่าเยอะให้ม้ากน้ะกวังกู!!!!,1
น่ารำคา,1
ถามล่ะออฟหนี เด๋วตบกบาลแม่งล่,1
เออ มาหาแล้วก็เงี้ยะ ทีนี้จะไม่มาแล้วเว้ยยยยยยยยย,1
คือกุลงมาหาแล้วไม่เจอมึ,1
ไอ้สึสแอพ มึงเด้งออกจัง ไฝว้จะกูเปล่,1
คือ....ชุด...อัลไลว่,1
เจอตัวเหี้ยในคาบคน ก้วันนี้เอง ><,1
กว่าจะมีสัญญาณ ที่รักดันไม่รับอ่,1
มึงจะเอาให้ถึงไหนล่ะ? บ้าดิ,1
จะด่ากูก็ด่าเหอะ จะว่าก็ว่า แค่กูไม่ได้ตามข่าวบ่ายนี้กูผิดหรอ กูติดเรียนกูก็ผิดหรอ ? อนาคตของกูกูผิดหรอ?,1
นี่ไม่คิดจะตั้งกระทู้เกี่ยวกับซีเอ็นบลูเลยใช่ไหม ? โอเค ก็ได้ กูตั้งเอง ,1
บอกให้กลับบ้าน ไม่กลับ มาบ่นคนเยอะ ถีบหน้าเล,1
นั่นเป็นเวรกรรมของเข,1
มารยาททราม!!! กิริยาวาจาแบบนี้ก็เลิกขับเถอะ...ไปนั่งชักว่าวอยู่บ้านเถอะลุง!!,1
ถ้าไม่รีบไม่ไปไฟท์ด่วนหรอก.. อีสัส!,1
ตามใจทุกอย่าง พอเราขอบ้างกลับงี่เง่า มีครั้งต่อไป ก็อย่าได้หวังว่าจะได้เรียกกูว่าแฟนอีก!!,1
ทำเป็นเล่นไป งานการไม่ได้สักอย่า,1
เกลียดการรอคอ,2
วันนี้เชลซีและบาร์ซ่าจะชนะทั้งคู่ :,2
พรุ่งนี้น้องๆ47จะมารับน้องปี3 'โฟร์ตี้ โฟร์ตี้ โฟรตี้ไฟว์ เยส ไอไลค์ ตะแหน่ว ตะแหน่ว' กันเต็มขนาดไหนน้,2
อยากออกเดินทางกับใครสักคน ที่พร้อมจะลุยไปด้วยกัน,2
อยากให้ลุงตอบทวิตกูจั,2
พรุ่งนี้ไปเที่ยวกับพ่,2
เสาร์ อาทิตย์ ที่จะถึงนี้ไม่ว่างอีกแล้ววววว ไปทริปที่สัตหีบบบบ อยากไปจั,2
ก็ชอบคนนี้อะ ให้เลิกชอบก็คงยากป่ะ ,2
คุณเป็นใครกันเข้ามาอยู่ทั้งในฝันในความจริงตื่นนอนก็ เห็นก่อนนอนก็เจอ คุน กลับมาเป็นคนเดิมของผมเถอ,2
ไม่อยากผิดหวัง ก็อย่าคาดหวั,2
วันทำพาน ห้องเราต้องได้คุยกันเยอะขึ้นแน่ๆ!,2
อีกนานแค่ไหนถึงจะได้ปลดปล่อยอีกสักท,2
ต้องนอนละ ฝันดี ถ้ารูปคู่โน่ริทมา ฝากเมนชั่นมาให้ด้วยน้,2
รอกันยาเปิดตัวไอโฟนใหม่ เงินคงพร้อมล่ะน,2
สตอเบอรี่คงอร่อยกว่ามะเขือเทศน,2
ปั๊บหายไปแต่งโน่กันฉากต่อที่คอนโดปร๊,2
วันนี้จะฝันเหมือนเดิมอีกมั้ย(?,2
แค่เชื่อในสิ่งนั้นแล้วมันจะดีเอ,2
"เลดี้กาก้า มีบัตรยืนป่ะเนี่ยยย =.,= 55555555 เผื่อจะได้มีโอกาสได้บัตรมากขึ้",2
เสียใจ! เจ็บปวด บอกไม่ถูก,2
ไม่มาจิงจิงใช่ม้ายยยยย ),2
ทำไมมีแต่รูป ออด อยากได้ปาปาคอนของคาเมะน่,2
น้องน่ารักจะมาดูมั๊ยน,2
ต้องเก็บมาให้เป็นอากา,2
พี่ลห.โทรหาน้องซฮ.เพื่อถามอาการบาดเจ็บบ้างมั๊ยน๊,2
จ่ากับเพื่อนทั้ง8จะมาเมืองไทยอีกเมื่อไหร่กันนะ..,2
หวังให้วีนนี้เป็นวันที่ดี แล้วนี่หรอสิ่งที่ได้รับ ร่วมภูมิใจให้มีกำลังใจหน่อยไม่ได้หร,2
พี่ยูลควรอัพไอจีก่อนไปจัดรายการน,2
ความจริงมันชัดเจนนานละ แต่ใจแม่งไม่ยอมรับเองมากกว่า พยายามหลอกตัวเองว่าสักวันมันต้องมีอะไร มัต้องเปลี่ยนไป มันต้องอย่างนั้นอย่างนี,2
ความหิวมันเป็นความต้องการของกระเพาะ ความรักเป็นเรื่องของหัวใจและสมอง ร่างกายที่ยังไม่มีใครมองมันก็ต้องการใครสักคนเหมือนกันน,2
ลมๆแล้ง,2
เราอยากแบบฉลาดเลย อ่านยุ่นออกเลย ได้ป่ะ 555555555555,2
เย้ๆ!! อาทิตย์หน้า 2014/06/29 แอลเจลิน่า โจลี่ไปเป็นเกสต์รายการยามะพ,2
ซูดีนี้เจ้ากี้เจ้าการดีนักนะ ระวังจะเข้าตัวเองบ้างเหอะๆๆ,2
เหนื่อยกับสิ่งที่หวัง อยากขอให้มันมีจริง,2
เอิ่มมม อยากทราบว่าเด็กมหิดลจะมาแย่งกุทำไมคับบ แหม่ คุณเรียนมหิดลไปสิ ปล่อยให้เด็กต่างจังหวัดเค้ามีโอกาสบ้างอะไรบ้า,2
สักวันต้องผ่านไ,2
ตัวปัญหาจริงๆอาจเล็กนิดเดียว บวกความคาดหวังของเราเข้าไป หวังจะเจอคนที่ใช่ ฝันจะมีชีวิตที่สมบูรณ,2
เชื่อว่า รักแรกพบมีอยู่จริ,2
ยาวนานเกินไ,2
ก่อนนอนก็อยากคุยกับเธอเป็นคนสุดท้า,2
หิวอาหารอย่างร้ายแร,2
อีกนานแค่ไหน ใจก็จะรอ.,2
ปีหน้าเราก็อยากทำโฮ๊ะน่,2
ที่กลัวก็เพราะว่าแอ,2
อยากสละโสด ให้เธอจั,2
หวังว่าวันนึงเธอจะทักม,2
อดทนเก็บความในใจ แล้วรอแค่วันเวลา ให้มันหมุนช้าๆ แล้วเดินไปกับมัน อดทนเก็บความใจในแล้วเรียนรู้กันและกั,2
อีกนิดและ อีกนิด พ่อเริ่มเห็นความเหนื่อยของลูกแล้ว จะไปอยู่หอแล้วโอ้เย้!!!! >0,2
ไม่รู้ว่าอนาคตในชีวิต จะประสบความสำเร็จตอนไหน อิฉาคนที่รู้ว่าอะไรคือประสบความสำเร็จสำหรับตัวเอง..,2
อยากมีโมเม้นโทรมาบอกว่าจะไปไห,2
บ่ายมารันนิ่งแมนนนน อ๊ายยยย นี่ความฝันเลยนะ><,2
ตอนเช้าคงง่วงไปทั้งวัน ตายแน่ๆ เห้ออ ขอให้ตอนบ่ายเรียนน้อยๆ ปล่อยเร็ว,2
ไมไม่โทรมาหาเราบ้างล่ะ >,2
"17สิงหาล่ะ 17สิงหา ,,- -,",2
น้ำตาพี่จิไหลลลลลล ยัยถังจะใส่ขาสั้นไปยันวันสุดท้ายเลยใช่มั้ยค,2
สาวออกทางวีไอพี จริงๆสินะ ???? ไม่แน่สาวๆอาจจะบอกจนทว่าอยากออกทางปกติก็ได้น,2
อัพแล้วคงมีอะไรดีขึ้,2
วันข้างหน้าจะเป็นวันที่ดีใช่ไหม... ต้องดีกว่าเดิมแน่,2
อยากให้เธอเพ้อถึงชั้นบ้างอ๊าาาาาา,2
คิดถึง เมื่อไหร่จะกลับมาเป็นเหมือนเดิมสักท,2
อยากให้ชายนี่ออกรายการพวกเรียลลิตี้โชว์อ,2
หวังว่าหลังจากเรื่องนี้ผ่านไป เราจะเข้มแข็งขึ้นน,2
หัวหน้าผู้เลิศเลอค,2
ไม่มีคิบอม...คราวก่อนบอกมีแต่กลับไม่มีครั้งนี้บอกไม่มีแล้วถ้าถึงวันนั้นมัน.... >,2
ฝนตกเป็นห่าเลย ภาวนาให้น้ำท่ว,2
หิมะ หิมะ หิมะ >,2
คิดถึงโทมินจุนชิ~ เมื่อไหร่ภาค 2 จิมา?,2
วาเลนไทน์ปีที่แล้ว พี่ก็จัดเซอร์ไพรส์แม่ยกไปดูละครเวที ปีนี้ขอลงไอจีรูปคู่ได้ไหมจ๊,2
ท่าพี่อ้นคุยกะพี่รีนเเบบที่พี่โน่คุยตอนนี้คือเเบบ กูฟินเปนสิบชาติ 555 ,2
ได้ดูตัวอย่างแปบเดี่ยวก็ปริ่มแล้,2
อีกสักพักสิก้าอาจจะอัพรูปคู่จินเจอร์ก็ได,2
วันๆไม่ทำไร นั่งเปิดเว็ปไปรษณีย์ดูสถานะของ,2
อยากมีรักดีๆ ที่ไม่ทำให้ใจต้องเจ็,2
นี่รออยู่คนเดียวนะ... ขนาดฟานี่ยังเปลี่ยนรุปเลยยย,2
ครั้งแรกที่เราเจอกันเธอยังเด็กมากและยังคงจำความไม่ได้ ..,2
ตอบฉันได้รึยั,2
พี่ไม่ได้้มาหลอก รักของเรายังคงอยู่แสนนา,2
ถ้าได้บัตรฟรีอีกนะ จะเอามาแจกอีก นี่พูดเลย ;_____,2
เธอคือใค,2
อยากให้เธอรับรู้สิ่งที่ฉันหวัง และหวังว่าเธอคงตอบกลับมาฉันก็ได้แต่หวังว่าให้มันไปตามสิ่งที่ฉันต้องการ,2
เทพสุนัข อีกไม่นานจะได้อ่านเเล้วสิ่นะ โนมันนี่ด้วยยย,2
จะมีน้องๆคนไหนในเส้นมาอยู่ม.เดียวกับเราบ้างน๊าา,2
คำพูดของกูในวันนี้ทางที่อยากให้มันเป็นแรงผลักดันให้พี่สาวคนนี้นะ,2
วันที่6สิงหา  ฉันจะขอความจำเสื่อมด้วยคน  ถ้าทุกคนพร้อมความจำเสื่อมบนทีเเอลมันอาจจะมีปาฏิหารเกิดขึ้น,2
ไม่ได้อันดับ1 ขอเป็นอันดับ2 3 และ 4 อย่าหลุดนะ ข้าขอร้อง ข้าจะไปจอบมานะที่ตึกเพียรวิจิต,2
ทีมสแตมป,2
ก็แค่ยังไม่กลับมาเท่านั้นเอง ..,2
"ดร.สุรินทร์,กรณ์,อภิลักษณ์,อลงกรณ์,ชำนิ น่าจะเป็นกำลังหลัก ของ ปชป ยุคต่อไปได้ด",2
ครึ่งหลังคงจะไม่ได้เหนหน้า นานี่ อีกน่,2
พูดแต่เรื่องคัมแบ็ค งืมมม แสดงว่าใกล้คัมแบ็คแล้วอ่ะดิ ใช่มั้,2
รึจะเรียนทันตแพทย์ด,2
เพลงประกอบซิทคอมลูกพี่ลูกน้อง อยากให้พี่โน่ พี่ริท พี่กัน อสรพิษร้องด้วยกันอ่า >,2
อยากให้มีคนเห็นเราเป็นคนสำคัญบ้าง ไม่ใช่ด้วยคำพูด แต่เป็นจากการกระท,2
บางที..ซอบอาจจะอยากเซอไพรส์เราก็ได้นะ นี่ก็ใกล้ 16 ตุลาแล้,2
อยากดูฮอร์โม,2
ละครเรียวจังอ่ะ แค่ตอนแรกก็มีอาราชิไปเป็นเกสต์แล้ว แล้วตอนต่อๆไปมันต้องมีรุ่นพี่รุ่นน้องในค่ายจอนนี่ไปร่วมเล่นด้วยสิน่ะ,2
คุณซอพี่จะรอดูรูปที่เธอถ่ายเองในงานนะ เอามาโชว์หน่อยสิค,2
อย่าหวั่น เมื่อยังมีหวัง,2
